#Time       v(vout)   
 205.47E-6  10.044    
 205.49E-6  11.167    
 205.51E-6  7.9415    
 205.53E-6  2.7825    
 205.55E-6 -1.4459    
 205.57E-6 -0.26454   
 205.59E-6  4.589     
 205.61E-6  9.6186    
 205.63E-6  11.321    
 205.65E-6  8.5787    
 205.67E-6  3.4021    
 205.69E-6 -1.4443    
 205.71E-6 -0.79249   
 205.73E-6  3.6083    
 205.75E-6  8.9145    
 205.77E-6  11.426    
 205.79E-6  9.4009    
 205.8E-6   4.3519    
 205.82E-6 -1.2563    
 205.84E-6 -1.0092    
 205.86E-6  2.7533    
 205.88E-6  8.1418    
 205.9E-6   11.227    
 205.92E-6  9.8977    
 205.94E-6  5.1811    
 205.96E-6 -1.0001    
 205.98E-6 -1.0598    
 206.E-6    2.2844    
 206.02E-6  7.6337    
 206.04E-6  11.035    
 206.06E-6  10.152    
 206.08E-6  5.6941    
 206.1E-6  -0.29142   
 206.12E-6 -1.1525    
 206.14E-6  1.8088    
 206.16E-6  7.1768    
 206.18E-6  10.916    
 206.2E-6   10.449    
 206.21E-6  6.1933    
 206.23E-6  1.2149    
 206.25E-6 -1.3809    
 206.27E-6  0.94568   
 206.29E-6  6.2511    
 206.31E-6  10.553    
 206.33E-6  10.942    
 206.35E-6  7.1892    
 206.37E-6  1.9953    
 206.39E-6 -1.3684    
 206.41E-6  0.42887   
 206.43E-6  5.5195    
 206.45E-6  10.145    
 206.47E-6  11.087    
 206.49E-6  7.7647    
 206.51E-6  2.6297    
 206.53E-6 -1.4539    
 206.55E-6 -0.15567   
 206.57E-6  4.7552    
 206.59E-6  9.7342    
 206.61E-6  11.305    
 206.62E-6  8.4275    
 206.64E-6  3.2698    
 206.66E-6 -1.4107    
 206.68E-6 -0.50905   
 206.7E-6   4.1184    
 206.72E-6  9.2264    
 206.74E-6  11.327    
 206.76E-6  8.9674    
 206.78E-6  3.895     
 206.8E-6  -1.342     
 206.82E-6 -0.91335   
 206.84E-6  3.1685    
 206.86E-6  8.5255    
 206.88E-6  11.312    
 206.9E-6   9.6363    
